success,move,penalty,trial,timeup,reward
0,21,2,1,1,-2
0,56,5,2,1,0.5
0,21,2,3,1,2.5
1,20,0,4,0,26
1,11,0,5,0,22
0,21,1,6,1,23.5
1,21,1,6,0,23.5
1,31,2,7,0,24
1,16,3,8,0,25.5
1,21,1,9,0,25.5
1,6,1,10,0,19.5
1,25,1,11,0,27.5
1,21,0,12,0,20
1,13,0,13,0,22
1,8,0,14,0,18
1,11,1,15,0,19
1,5,0,16,0,20
1,11,0,17,0,18
1,16,1,18,0,19.5
1,16,0,19,0,18
1,5,0,20,0,20
1,9,1,21,0,23.5
1,13,0,22,0,24
1,8,0,23,0,18
0,41,1,24,1,11.5
1,11,0,25,0,20
1,10,1,26,0,17
1,11,0,27,0,24
1,23,0,28,0,30
1,5,0,29,0,16
1,11,1,30,0,15.5
1,11,1,31,0,21
1,12,1,32,0,17.5
1,17,0,33,0,26
1,16,2,34,0,23
1,17,0,35,0,26
1,20,0,36,0,22
0,21,1,37,1,19.5
1,21,1,37,0,19.5
1,14,0,38,0,20
1,8,0,39,0,18
1,6,0,40,0,22
1,16,0,41,0,24
1,29,1,42,0,25
1,18,0,43,0,24
1,25,1,44,0,25.5
1,13,1,45,0,21
1,17,0,46,0,26
1,7,0,47,0,18
0,26,0,48,1,0
1,7,0,49,0,18
1,10,1,50,0,23.5
0,26,2,51,1,23
1,4,0,52,0,18
1,13,0,53,0,20
1,12,0,54,0,22
1,6,0,55,0,18
1,16,0,56,0,28
1,2,0,57,0,14
1,17,0,58,0,30
1,9,0,59,0,20
1,13,0,60,0,24
1,23,1,61,0,23
1,26,0,62,0,30
1,12,0,63,0,20
1,11,0,64,0,18
1,18,0,65,0,24
1,17,0,66,0,30
1,7,0,67,0,20
1,10,0,68,0,24
1,7,0,69,0,22
1,22,0,70,0,26
1,22,0,71,0,24
1,25,0,72,0,28
1,21,0,73,0,20
1,10,0,74,0,20
1,6,0,75,0,22
1,8,0,76,0,18
1,12,0,77,0,20
1,5,0,78,0,20
1,13,0,79,0,24
1,6,0,80,0,18
1,10,0,81,0,22
1,14,0,82,0,24
1,14,0,83,0,22
0,21,0,84,1,6
1,19,0,85,0,24
1,14,0,86,0,24
1,12,0,87,0,22
1,13,0,88,0,22
1,11,0,89,0,20
1,23,0,90,0,24
1,13,0,91,0,26
1,9,0,92,0,18
1,13,0,93,0,24
1,9,0,94,0,22
1,21,0,95,0,24
1,13,0,96,0,20
1,11,0,97,0,24
1,23,0,98,0,28
1,11,0,99,0,18
1,21,0,100,0,26
93,,0.37254902,,,20.9754902
