success,move,penalty,trial,timeup,reward
0,21,1,1,1,-0.5
0,21,0,2,1,0
0,36,2,3,1,-1
0,41,2,4,1,2.5
0,21,3,5,1,4.5
0,41,1,6,1,3
0,26,1,7,1,11.5
1,8,1,8,0,15.5
1,10,1,9,0,19
1,9,0,10,0,18
1,16,0,11,0,26
1,14,0,12,0,22
1,9,1,13,0,15.5
1,17,1,14,0,17.5
0,26,2,15,1,10.5
1,21,0,16,0,26
1,21,1,17,0,27
1,30,1,18,0,29.5
1,10,0,19,0,20
1,21,1,20,0,25.5
1,34,2,21,0,24
1,10,1,22,0,17.5
1,21,0,23,0,28
1,10,0,24,0,22
1,21,0,25,0,26
0,26,2,26,1,7
1,11,1,27,0,17
1,21,2,28,0,31
1,6,1,29,0,15.5
1,10,0,30,0,20
1,6,1,31,0,13.5
1,14,1,32,0,27.5
1,15,0,33,0,22
1,14,1,34,0,21.5
0,26,3,35,1,16
1,11,0,36,0,24
1,11,1,37,0,21.5
1,11,1,38,0,21
1,14,0,39,0,22
1,7,0,40,0,16
1,10,1,41,0,21.5
1,9,1,42,0,17
1,10,1,43,0,21.5
1,20,2,44,0,22
1,21,1,45,0,29.5
1,13,0,46,0,24
1,13,0,47,0,22
1,11,0,48,0,24
1,23,2,49,0,26.5
1,17,3,50,0,24
1,19,5,51,0,16
1,8,0,52,0,18
1,6,0,53,0,18
1,5,1,54,0,17
1,26,2,55,0,26.5
1,13,1,56,0,23.5
1,29,1,57,0,23
1,17,0,58,0,36
1,11,0,59,0,22
1,12,0,60,0,26
1,6,0,61,0,18
1,11,1,62,0,21.5
1,17,3,63,0,32
1,4,0,64,0,18
0,21,3,65,1,8
1,14,1,66,0,19.5
1,13,0,67,0,22
1,25,0,68,0,24
0,31,3,69,1,33.5
1,31,3,69,0,33.5
1,9,0,70,0,20
1,21,2,71,0,26
0,21,2,72,1,22.5
1,21,2,72,0,22.5
1,18,1,73,0,27.5
1,29,2,74,0,20
1,10,0,75,0,26
1,9,1,76,0,19
1,20,2,77,0,31
1,18,2,78,0,18
1,4,0,79,0,18
1,12,1,80,0,21
1,21,1,81,0,27
1,16,1,82,0,27.5
1,17,1,83,0,25
1,17,0,84,0,22
1,15,1,85,0,19.5
1,8,0,86,0,24
1,21,0,87,0,22
1,16,1,88,0,23
1,14,1,89,0,25
1,2,0,90,0,14
1,17,1,91,0,25
1,10,0,92,0,22
0,26,3,93,1,26
1,26,3,93,0,26
1,15,2,94,0,27
1,7,0,95,0,18
1,9,0,96,0,20
1,12,0,97,0,20
1,13,1,98,0,23.5
1,7,0,99,0,18
1,24,4,100,0,27
89,,1.029126214,,,20.83495146
