success,move,penalty,trial,timeup,reward
0,31,19,1,1,-7
1,16,8,2,0,7
1,10,7,3,0,11
0,21,12,4,1,-6.5
0,36,21,5,1,-4
0,21,12,6,1,-3
0,26,15,7,1,0.5
0,21,14,8,1,-7.5
1,25,13,9,0,6.5
0,21,13,10,1,4.5
0,31,17,11,1,-1
0,41,24,12,1,0
0,26,12,13,1,0.5
1,13,7,14,0,13
0,26,16,15,1,-5
0,21,17,16,1,-8
0,26,19,17,1,-4
1,17,9,18,0,12
0,31,17,19,1,0
0,36,21,20,1,-4
0,21,9,21,1,6
0,26,12,22,1,6.5
0,26,15,23,1,2.5
0,26,12,24,1,3.5
0,26,14,25,1,1
1,6,3,26,0,13.5
0,46,27,27,1,-2
0,26,14,28,1,-6
0,21,11,29,1,6.5
0,21,11,30,1,-0.5
0,21,17,31,1,-9.5
0,46,31,32,1,-5
1,7,2,33,0,18.5
0,26,19,34,1,-10
0,31,15,35,1,-2
0,21,14,36,1,-3.5
0,26,12,37,1,6.5
0,26,17,38,1,-6.5
0,36,17,39,1,0
0,21,12,40,1,1
0,41,19,41,1,4
1,31,16,42,0,6.5
0,36,18,43,1,-2.5
0,31,19,44,1,-3.5
0,31,22,45,1,-11.5
1,14,9,46,0,8.5
1,27,19,47,0,1
0,31,10,48,1,9.5
0,36,26,49,1,-13.5
0,21,10,50,1,-1.5
0,21,15,51,1,-1.5
0,21,10,52,1,1.5
0,26,11,53,1,-1.5
0,31,18,54,1,-6.5
1,38,25,55,0,3.5
0,21,13,56,1,-4.5
0,26,16,58,1,4.5
0,36,19,59,1,0
0,21,8,60,1,1
0,26,12,61,1,5
0,56,35,62,1,-2
1,18,10,63,0,10
0,26,10,64,1,4.5
0,31,19,65,1,-1.5
0,26,14,66,1,-3
0,41,21,67,1,10.5
0,41,23,68,1,3
1,3,1,69,0,11.5
0,41,26,70,1,-1.5
1,41,26,70,0,-1.5
0,36,22,71,1,-3.5
0,26,15,72,1,-2.5
0,41,21,73,1,4.5
0,31,19,74,1,-10
0,31,18,75,1,-2.5
1,20,12,76,0,7.5
0,36,23,77,1,-12
1,13,6,78,0,13.5
0,46,30,79,1,-13.5
0,21,10,80,1,4.5
0,46,33,81,1,-12.5
0,26,18,82,1,-6
0,36,22,83,1,-5.5
0,21,10,84,1,2
0,26,11,85,1,17.5
1,26,11,85,0,17.5
0,41,21,86,1,-6
0,26,13,87,1,3.5
0,36,21,88,1,-4
0,26,15,89,1,-1
0,26,15,90,1,-3.5
0,36,20,91,1,-4.5
0,26,16,92,1,3
0,21,16,93,1,-11
1,25,9,94,0,17.5
0,21,12,95,1,-0.5
1,25,12,96,0,13
0,26,9,97,1,2
0,36,17,98,1,6
0,31,20,99,1,-0.5
0,51,28,100,1,1
19,,15.86138614,,,0.673267327
